SMILES,Core_type
Cc1cccc(F)c1-c1cccs1,3取代苯
COc1cccc(Cl)c1I,3取代苯
N#Cc1cc(I)cc(-c2ccccc2)c1,3取代苯
COc1ccc(Br)c(C#N)c1,3取代苯
Clc1c(-c2ccccc2)cccc1-c1ccccc1,3取代苯
COc1cc(C#N)ccc1Br,3取代苯
Cc1cc(Cl)cc(I)c1,3取代苯
COc1cc(O)cc(C#N)c1,3取代苯
COc1cc(Cl)ccc1-c1ccccc1,3取代苯
COc1ccc(Cl)cc1Cl,3取代苯
Cc1cc(Br)cc(C#N)c1,3取代苯
Cc1ccc(-c2cccs2)cc1I,3取代苯
Cc1cccc(-c2cccs2)c1-c1ccccc1,3取代苯
Oc1ccc(F)c(O)c1,3取代苯
Cc1c(-c2ccccc2)cccc1-c1cccs1,3取代苯
COc1cc(Cl)cc(C#N)c1,3取代苯
Cc1cccc(F)c1C,3取代苯
Fc1cc(-c2cccs2)cc(-c2cccs2)c1,3取代苯
COc1c(O)cccc1-c1cccs1,3取代苯
Oc1cc(Cl)cc(-c2cccs2)c1,3取代苯
Fc1cc(F)cc(Cl)c1,3取代苯
Fc1ccc(I)cc1-c1cccs1,3取代苯
Cc1c(Br)cccc1I,3取代苯
Fc1cccc(Cl)c1F,3取代苯
c1ccc(-c2cc(-c3cccs3)cc(-c3cccs3)c2)cc1,3取代苯
Oc1cc(I)cc(-c2ccccc2)c1,3取代苯
COc1cccc(-c2ccccc2)c1-c1cccs1,3取代苯
N#Cc1ccc(Br)cc1Br,3取代苯
COc1cc(C)cc(Cl)c1,3取代苯
N#Cc1cccc(O)c1-c1cccs1,3取代苯
Cc1cc(Br)cc(Br)c1,3取代苯
COc1ccc(Cl)cc1I,3取代苯
Oc1c(Cl)cccc1I,3取代苯
Clc1ccc(Cl)c(-c2cccs2)c1,3取代苯
COc1ccc(-c2cccs2)cc1Cl,3取代苯
Ic1c(-c2ccccc2)cccc1-c1ccccc1,3取代苯
Oc1cc(-c2cccs2)ccc1I,3取代苯
Cc1cc(C)cc(O)c1,3取代苯
Brc1cc(I)cc(I)c1,3取代苯
Oc1ccc(O)c(I)c1,3取代苯
COc1ccc(OC)c(OC)c1,3取代苯
N#Cc1ccc(O)cc1O,3取代苯
N#Cc1cc(Cl)ccc1-c1ccccc1,3取代苯
COc1cccc(F)c1O,3取代苯
COc1cc(Br)cc(C#N)c1,3取代苯
COc1cc(C#N)ccc1F,3取代苯
COc1c(Cl)cccc1Cl,3取代苯
Clc1cc(I)ccc1-c1cccs1,3取代苯
Cc1ccc(F)c(Cl)c1,3取代苯
Oc1ccc(Cl)c(-c2ccccc2)c1,3取代苯
Oc1c(Br)cccc1I,3取代苯
COc1cc(Br)ccc1Cl,3取代苯
Cc1cc(-c2cccs2)ccc1F,3取代苯
COc1cc(O)cc(F)c1,3取代苯
COc1ccc(C#N)cc1I,3取代苯
c1ccc(-c2cc(-c3cccs3)ccc2-c2cccs2)cc1,3取代苯
Cc1cc(-c2ccccc2)ccc1-c1cccs1,3取代苯
COc1cccc(C)c1Cl,3取代苯
N#Cc1ccc(Cl)cc1I,3取代苯
Clc1cc(-c2cccs2)cc(-c2cccs2)c1,3取代苯
Fc1cccc(Br)c1Cl,3取代苯
N#Cc1cc(Cl)cc(-c2cccs2)c1,3取代苯
N#Cc1cc(-c2ccccc2)ccc1-c1cccs1,3取代苯
COc1cccc(-c2ccccc2)c1C,3取代苯
COc1cccc(I)c1O,3取代苯
COc1ccc(C)c(O)c1,3取代苯
N#Cc1cc(O)cc(Br)c1,3取代苯
