SMILES,Core_type,SAscore
Clc1ccc(-c2ccccc2)c(-c2ccccc2)c1,3取代苯,1.406518998469572
Brc1cc(-c2ccccc2)cc(-c2cccs2)c1,3取代苯,1.8307341487785607
COc1cc(-c2ccccc2)cc(-c2cccs2)c1,3取代苯,1.7487786138541885
COc1cccc(O)c1I,3取代苯,2.1252796230857705
Fc1cc(Br)cc(Br)c1,3取代苯,2.068064545687095
Fc1ccc(F)c(Cl)c1,3取代苯,1.484437622610173
N#Cc1cccc(-c2cccs2)c1O,3取代苯,2.2653486626152155
N#Cc1cc(F)cc(-c2ccccc2)c1,3取代苯,1.7298794515409472
Clc1cc(Cl)cc(-c2cccs2)c1,3取代苯,1.9036168809859575
Oc1ccc(O)c(F)c1,3取代苯,1.9261356995332495
Brc1ccc(I)c(Br)c1,3取代苯,2.279108776456326
COc1cc(C)cc(O)c1,3取代苯,1.7767770589832068
Brc1ccc(-c2cccs2)c(I)c1,3取代苯,2.2248027437718196
COc1cccc(Cl)c1C,3取代苯,1.5203155205216667
COc1cccc(-c2cccs2)c1-c1cccs1,3取代苯,2.1021866886914804
COc1cccc(OC)c1Cl,3取代苯,1.6062587978356895
COc1cc(C)cc(C)c1,3取代苯,1.452187315393461
Fc1ccc(Br)c(Br)c1,3取代苯,1.8939780072255576
Ic1c(-c2cccs2)cccc1-c1cccs1,3取代苯,2.346465351071325
N#Cc1ccc(F)cc1C#N,3取代苯,2.1805003362972304
Cc1cccc(C#N)c1F,3取代苯,2.124100135906282
Ic1c(-c2ccccc2)cccc1-c1cccs1,3取代苯,2.0057443084302324
COc1cc(F)cc(C#N)c1,3取代苯,1.96054033629723
Cc1cc(F)cc(-c2ccccc2)c1,3取代苯,1.4880671241536767
N#Cc1cc(Cl)cc(Br)c1,3取代苯,2.2803616743678212
Cc1cc(Cl)cc(C#N)c1,3取代苯,2.0906898794960256
Oc1c(I)cccc1I,3取代苯,2.5312645456870957
Cc1ccc(C)c(C#N)c1,3取代苯,1.865356546162694
Clc1cccc(Br)c1Cl,3取代苯,1.8995510841486318
Oc1ccc(I)cc1-c1cccs1,3取代苯,2.2047632427323194
COc1cccc(O)c1C,3取代苯,1.667146289752436
Oc1ccc(I)c(F)c1,3取代苯,2.28860493030248
N#Cc1ccc(-c2cccs2)c(O)c1,3取代苯,2.1996175087690606
COc1cccc(F)c1Br,3取代苯,1.8981770589832063
Fc1cc(Br)cc(I)c1,3取代苯,2.46657993030248
N#Cc1cccc(F)c1-c1ccccc1,3取代苯,1.7886998451008775
Cc1cccc(O)c1Br,3取代苯,2.100626084148635
N#Cc1ccc(Br)c(Cl)c1,3取代苯,2.0604847512908986
c1ccc(-c2cc(-c3ccccc3)cc(-c3ccccc3)c2)cc1,3取代苯,1.061717448217749
COc1c(I)cccc1I,3取代苯,2.3932744948806413
COc1cc(O)cc(OC)c1,3取代苯,1.7314511055279986
COc1cc(O)ccc1O,3取代苯,1.7060437256498737
Ic1ccc(-c2ccccc2)c(I)c1,3取代苯,1.914535585692139
N#Cc1cc(C#N)cc(-c2cccs2)c1,3取代苯,2.337732045458658
Oc1cc(-c2ccccc2)cc(-c2ccccc2)c1,3取代苯,1.46799300932733
N#Cc1cc(F)cc(Cl)c1,3取代苯,2.118448853855
